listing_url,OFFICE,FAMILY ROOM,DINING ROOM,DEN,REC,FOYER,2ND BEDROOM,BATHROOM,BATHROOMS,LIBRARY,EXERCISE,KITCHEN,LIVING ROOM,MASTER BEDROOM,STUDY,4TH BEDROOM,3RD BEDROOM,OTHER,LEGAL DESCRIPTION,5TH BEDROOM,SUNROOM,GREAT ROOM,LAUNDRY,SITTING,SOLARIUM,LOCKER,BEDROOM,BREAKFAST,MEDIA/ENT,UTILITY
https://toronto.listing.ca/282-ryding-ave.W4362461.htm#15-et,,"Main Level, 7.62m x 5.30mHardwood Floor, W/O To Deck, Open Concept","Main Level, 7.62m x 5.30mOpen Concept, Hardwood Floor, Sliding Doors","2nd Level, 2.04m x 1.50mBroadloom","Lower Level, 5.80m x 5.30mConcrete Floor, Large Window",,"2nd Level, 6.00m x 2.60mPicture Window, Broadloom, O/Looks Backyard",,4-piece on main level4-piece on 2nd level3-piece on 2nd level4-piece on bsmt level,,,"Main Level, 7.62m x 5.30mConcrete Counter, B/I Appliances, Hardwood Floor","Main Level, 5.30m x 4.30mHardwood Floor, O/Looks Park, Picture Window","2nd Level, 5.30m x 4.20mW/O To Terrace, W/I Closet, 4 Pc Bath",,"Lower Level, 5.30m x 4.05mWindow, Concrete Floor, Closet","2nd Level, 6.00m x 2.60mBroadloom, O/Looks Backyard, Picture Window",,,"Lower Level, 5.30m x 3.00mWindow, Concrete Floor",,,"Main Level, 1.50m x 1.50mWalk Through, Hardwood Floor",,,,,,,
https://toronto.listing.ca/2010-islington-ave-103.W4359876.htm#15-om,,," Level, 4.25m x 3.35mGranite Floor, Heated Floor, Formal Rm"," Level, 6.38m x 3.63mHidden Lights, Bay Window, W/I Closet",,," Level, 3.90m x 3.04mHardwood Floor, Large Closet, W/O To Balcony",,,,," Level, 4.25m x 3.35mOpen Concept, B/I Appliances, Granite Floor"," Level, 7.10m x 5.50mHardwood Floor, W/O To Balcony"," Level, 5.60m x 3.63m3 Pc Ensuite, W/I Closet, W/O To Balcony",,,,,,,,, Level,,, Level,,,, Level
https://toronto.listing.ca/21-widmer-st-1502.C4353234.htm#15-16a,,,"Main Level, 4.44m x 3.27mCombined W/Living, Hardwood Floor, W/O To Balcony",,,,"Main Level, 3.21m x 2.59mLarge Window, Double Closet",,,,,"Main LevelStainless Steel Appl, Quartz Counter","Main Level, 4.44m x 3.27mCombined W/Dining, Hardwood Floor, W/O To Balcony","Main Level, 3.35m x 2.89mHardwood Floor, 4 Pc Ensuite, W/O To Balcony",,,,,,,,,,,,,,,,
https://toronto.listing.ca/200-russell-hill-rd-204.C4296593.htm#15-2hh,,,"Main Level, 6.16m x 3.74mHardwood Floor, Pot Lights, Walk Through",,,,"Main Level, 3.50m x 5.12m4 Pc Ensuite, Double Closet, Hardwood Floor",,5-piece on main level4-piece on main level3-piece on main level2-piece on main level,,,"Main Level, 6.28m x 3.50mHardwood Floor, Breakfast Bar, Open Concept","Main Level, 6.15m x 3.47mWalk-Out, Pot Lights, Open Concept","Main Level, 3.81m x 5.33m5 Pc Ensuite, W/I Closet, Walk-Out",,,"Main Level, 3.55m x 5.42mHardwood Floor, Double Closet, Large Window",,,,,,,,,,,,,
https://toronto.listing.ca/1331-queen-st-609.E4304331.htm#15-2gd,,,,,,,"Flat Level, 3.04m x 2.84mHardwood Floor, W/O To Terrace, Stainless Steel Appl",,,,,"Flat LevelCombined W/Living, Stainless Steel Appl","Flat Level, 7.56m x 3.53mHardwood Floor, W/O To Terrace","Flat Level, 3.04m x 3.65mHardwood Floor, Double Closet, Ensuite Bath",,,,,,,,,,,,,,,,
https://toronto.listing.ca/18-sommerset-way-716.C4363811.htm#15-9k,,,"Flat Level, 3.66m x 3.66mSeparate Rm, Laminate",,,,"Flat Level, 3.05m x 2.78mLaminate, Closet",,4-piece on flat level,,,"Flat Level, 4.12m x 3.05mCeramic Floor, Breakfast Area","Flat Level, 5.58m x 3.36mW/O To Balcony, Laminate","Flat Level, 3.98m x 3.25mLaminate, 4 Pc Ensuite, W/I Closet",,,"Flat Level, 3.05m x 2.78mLaminate, Closet",,,,,,,,,,,,,
https://toronto.listing.ca/16-grantbrook-st.C4342806.htm#15-1pa,,"Main Level, 5.52m x 4.62mWindow, W/O To Porch","Main Level, 3.78m x 3.42mWindow, Hardwood Floor",,,,"Upper Level, 4.12m x 3.58mCloset, Window, Broadloom",,5-piece on upper level2-piece on main level3-piece on bsmt level,,,"Main Level, 5.10m x 2.40mWindow, Ceramic Floor","Main Level, 4.12m x 3.26mPicture Window, Hardwood Floor","Upper Level, 4.78m x 3.85mCloset, Window, Broadloom",,"Upper Level, 3.79m x 3.61mCloset, Window, Broadloom","Upper Level, 3.58m x 3.93mCloset, Window, Broadloom",,,"Upper Level, 3.61m x 2.47mCloset, Window, Broadloom",,,,,,,"Upper Level, 4.66m x 2.31mCloset, Window, Broadloom","Main Level, 3.56m x 3.78mW/O To Porch, Picture Window, Ceramic Floor",,
https://toronto.listing.ca/15-iceboat-terr-942a.C4362311.htm#15-gj,,,"Flat Level, 4.83m x 2.79mLaminate, Combined W/Kitchen, Open Concept",,,,"Flat Level, 2.95m x 2.44mLaminate, Closet",,4-piece on flat level,,,"Flat Level, 4.83m x 2.79mLaminate, Quartz Counter, Open Concept","Flat Level, 3.63m x 2.84mLaminate, W/O To Balcony, Open Concept","Flat Level, 3.40m x 2.79mBroadloom, W/I Closet, Picture Window",,,,,,,,,,,,,,,,
https://toronto.listing.ca/26-leopold-st.W4245190.htm#15-2nc,,"Ground Level, 4.83m x 4.55mGas Fireplace, Skylight, W/O To Patio","Ground Level, 6.20m x 4.95mFireplace, Leaded Glass, Hardwood Floor",,"Bsmt Level, 5.92m x 4.09mOpen Concept, Porcelain Floor, Halogen Lighting",,"2nd Level, 3.43m x 3.30mCloset, Bay Window, Hardwood Floor",,2-piece on main level4-piece on 2nd level5-piece on 3rd level4-piece on bsmt level,,,"Bsmt Level, 4.29m x 2.87mGranite Counter, Pot Lights, Slate Flooring","Ground Level, 4.88m x 4.34mMarble Fireplace, Picture Window, Hardwood Floor","3rd Level, 6.07m x 4.22m5 Pc Ensuite, Marble Fireplace, W/O To Balcony",,"2nd Level, 4.55m x 4.24mCloset, Large Window, Hardwood Floor","2nd Level, 4.19m x 3.86mW/O To Balcony, Large Window, Hardwood Floor",,,"2nd Level, 4.90m x 4.39mCloset, Large Window, Hardwood Floor",,,,"3rd Level, 2.87m x 2.51mVaulted Ceiling, Window, Hardwood Floor",,,,,,
https://toronto.listing.ca/10-tapscott-rd-504.E4324337.htm#15-29b,,,"Flat LevelCombined W/Living, Broadloom",,,,,,,,,"Ground Level, 2.40m x 2.23mB/I Dishwasher, Double Sink","Flat Level, 7.20m x 3.52mCombined W/Dining, Broadloom, W/O To Balcony","Flat Level, 4.93m x 2.83mBroadloom, Double Closet",,,,,,,,,,,,,,,,
https://toronto.listing.ca/7-oakley-pl.C4286217.htm#15-2kc,,"Main Level, 5.72m x 6.76mCathedral Ceiling, Gas Fireplace, O/Looks Backyard","Main Level, 4.37m x 5.03mFormal Rm, Wood Trim, Hardwood Floor",,"Lower Level, 6.78m x 6.91mBuilt-In Speakers, Open Concept, 4 Pc Bath",,"2nd Level, 4.39m x 5.11mO/Looks Frontyard, B/I Desk, Semi Ensuite",,2-piece on ground level6-piece on 2nd level4-piece on 2nd level7-piece on 2nd level4-piece on lower level,,,"Main Level, 7.42m x 7.92mGranite Counter, Limestone Flooring, W/O To Patio","Main Level, 5.77m x 5.99mO/Looks Frontyard, Stained Glass, Hardwood Floor","2nd Level, 6.65m x 7.42m7 Pc Ensuite, Juliette Balcony, Vaulted Ceiling","Main Level, 4.24m x 4.88mDouble Doors, Large Window, Panelled","2nd Level, 4.01m x 4.93mHardwood Floor, Double Closet, 4 Pc Ensuite","2nd Level, 4.32m x 5.05mLarge Window, Double Closet, Semi Ensuite",,,,,,,,,,"Lower Level, 4.85m x 5.49mHardwood Floor, B/I Closet, 4 Pc Ensuite",,"Lower Level, 8.46m x 7.85mBuilt-In Speakers, Gas Fireplace, Wet Bar",
https://toronto.listing.ca/100-western-battery-rd-226.C4347954.htm#15-1gt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toronto.listing.ca/18-aylesworth-ave.E4336366.htm#15-1xy,,,,,,"Main Level, 2.15m x 1.49mTile Floor, 4 Pc Bath, W/O To Porch","Main Level, 3.51m x 2.20mWood Floor, Closet, Window",,4-piece on main level,,,"Main Level, 3.32m x 2.63mTile Floor, Window, Eat-In Kitchen","Main Level, 3.50m x 3.39mWood Floor, Window, O/Looks Frontyard","Main Level, 3.52m x 2.35mDouble Closet, Wood Floor, Window",,,,,,,,,,,,,,"Main Level, 2.21m x 1.99mTile Floor, Combined W/Kitchen",,
https://toronto.listing.ca/1060-sheppard-ave-1104.W4359524.htm#15-ni,,,"Main LevelLaminate, Combined W/Living, W/O To Balcony",,,,"Main LevelLaminate, Large Closet, Large Window",,3-piece on main level4-piece on main level,,,"Main LevelTile Floor, Stainless Steel Appl, Centre Island","Main LevelLaminate, Combined W/Dining, Open Concept","Main LevelLaminate, W/I Closet, 3 Pc Ensuite",,,,,,,,,,,,,,,,
https://toronto.listing.ca/7-knollview-cres.C4338818.htm#15-1uq,,,"Main Level, 7.01m x 5.28m",,"Bsmt Level, 4.88m x 5.02mAbove Grade Window",,"2nd Level, 3.88m x 3.00mWindow, O/Looks Frontyard, Closet",,,,,"Main Level, 3.28m x 3.29mB/I Appliances, Window","Main Level, 7.01m x 5.28m","2nd Level, 3.33m x 3.58m",,,"2nd Level, 3.08m x 3.98m",,,,,,,,,,,,,
https://toronto.listing.ca/3181-bayview-ave-315.C4330478.htm#15-25a,,,"Main LevelCombined W/Living, Hardwood Floor, W/O To Balcony",Main LevelHardwood Floor,,,"Main LevelLarge Window, Hardwood Floor, Large Closet",,5-piece on main level3-piece on main level,,,"Main LevelBreakfast Area, Hardwood Floor, Quartz Counter","Main LevelCombined W/Dining, Hardwood Floor, Open Concept","Main LevelEnsuite Bath, Hardwood Floor, W/I Closet",,,,,,,,,Main LevelPorcelain Floor,,,,,"Main LevelCombined W/Kitchen, Hardwood Floor, W/O To Balcony",,
https://toronto.listing.ca/714-the-west-mall-1510.W4362729.htm#15-cf,,,"Main Level, 3.58m x 2.51mLaminate, Crown Moulding, Open Concept",,,,"Main Level, 4.37m x 2.67mLaminate, W/I Closet, Window",,5-piece on main level2-piece on main level,,,"Main Level, 4.06m x 2.87mGranite Counter, Breakfast Bar, Stainless Steel Appl","Main Level, 5.92m x 3.38mLaminate, Crown Moulding, Open Concept","Main Level, 5.33m x 3.25mLaminate, Window, 2 Pc Ensuite",,,,,,,,,"Main Level, 1.71m x 1.56mCeramic Floor, Finished, Open Concept",,,,,,,
https://toronto.listing.ca/4091-sheppard-ave-302.E4338138.htm#15-1va,,,"Flat Level, 3.50m x 2.25mParquet Floor, Separate Rm, O/Looks Living",,,,"Flat Level, 3.00m x 2.75mBroadloom, Closet",,4-piece on flat level2-piece on flat level,,,"Flat Level, 3.00m x 2.75mCeramic Floor, Ceiling Fan","Flat Level, 5.10m x 3.50mParquet Floor, Sunken Room, W/O To Balcony","Flat Level, 4.75m x 3.50mBroadloom, 2 Pc Ensuite, W/I Closet",,,"Flat Level, 3.75m x 2.75mBroadloom, Closet",,,,,,,,,,,,,
https://toronto.listing.ca/155-cumberland-st-1400.C4258501.htm#15-2k2,,,"Flat Level, 7.37m x 6.69mW/O To Terrace, Fireplace, Hardwood Floor",,,"Flat Level, 8.84m x 7.30mSkylight, Marble Floor, Floating Stairs","2nd Level, 8.00m x 4.98m3 Pc Ensuite, Hardwood Floor, W/O To Balcony",,,"Flat Level, 8.00m x 5.79mPanelled, B/I Bookcase, Hardwood Floor","2nd Level, 4.93m x 4.72mW/O To Balcony, Hardwood Floor","Flat Level, 7.77m x 7.27mCentre Island, Breakfast Area, W/O To Terrace","Flat Level, 8.60m x 7.88mW/O To Terrace, Hardwood Floor, Fireplace","2nd Level, 7.85m x 6.40mW/O To Balcony, 4 Pc Ensuite, W/I Closet",,,"2nd Level, 4.88m x 5.72mW/O To Balcony, Hardwood Floor, 3 Pc Ensuite",,,,,"Flat Level, 7.77m x 4.62mW/O To Terrace, Fireplace, Hardwood Floor",,"2nd Level, 4.96m x 4.12m5 Pc Ensuite, W/I Closet, Hardwood Floor",,,,,,
https://toronto.listing.ca/65-bremner-blvd-4405.C4360429.htm#15-mg,,,"Flat Level, 6.32m x 3.36mWood Floor, W/O To Balcony, Open Concept",,,,"Flat Level, 3.51m x 2.75mWood Floor, Closet, Window",,4-piece on flat level,,,"Flat Level, 2.51m x 3.66mWood Floor, Breakfast Bar, Window","Flat Level, 6.02m x 3.66mWood Floor, Large Window, Open Concept","Flat Level, 5.31m x 3.36mWood Floor, 4 Pc Ensuite, W/O To Balcony",,,,,,,,,,,,,,,,
https://toronto.listing.ca/2183-lake-shore-blvd-2607.W4355032.htm#15-120,,,"Flat Level, 5.46m x 3.62m","Flat Level, 1.83m x 1.37mHardwood Floor",,,,,4-piece on main level3-piece on main level,,,,"Flat Level, 5.46m x 3.62m","Flat Level, 3.50m x 3.05m",,,,,,,,,,,,,"Flat Level, 3.20m x 2.74m",,,
https://toronto.listing.ca/636-evans-ave-5.W4335615.htm#15-1zd,,,"Main Level, 3.84m x 3.81mCombined W/Kitchen, Hardwood Floor, Combined W/Living",,,,,,,,,"Main Level, 4.89m x 3.84mCombined W/Dining, Stainless Steel Appl, W/O To Patio","Main Level, 4.79m x 3.12mOpen Concept, Large Window, Hardwood Floor","3rd Level, 6.33m x 4.89mEnsuite Bath, W/I Closet, Juliette Balcony",,,,,,,,,,,,,"2nd Level, 4.89m x 3.05mLarge Closet, Large Window, Broadloom",,,
https://toronto.listing.ca/45-heron-park-pl-6.E4359812.htm#15-ng,,,"Ground Level, 3.04m x 3.29mLaminate",,,,"3rd Level, 2.75m x 2.43mBroadloom",,3-piece on 3rd level3-piece on 2nd level2-piece on main level,,,"Ground Level, 3.04m x 2.74mTile Floor","Ground Level, 2.92m x 3.16mLaminate, Combined W/Dining","2nd Level, 4.20m x 3.41mBroadloom, W/I Closet, Ensuite Bath",,,"3rd Level, 2.47m x 2.74mBroadloom",,,,,,,,,,,,,
https://toronto.listing.ca/5765-yonge-st-104.C4357589.htm#15-lt,,,"Main LevelCombined W/Living, Open Concept, Laminate",,,,,,4-piece on main level,,,"Main LevelBreakfast Area, Quartz Counter, Renovated","Main LevelCombined W/Dining, Open Concept, Laminate","Main LevelW/I Closet, Window, Laminate",,,,,,,,,,,"Main LevelCloset, W/O To Balcony, Laminate",,,,,
https://toronto.listing.ca/39-kimbercroft-crt-712.E4343055.htm#15-1oi,,,"Flat Level, 8.25m x 3.30mCombined W/Living, Laminate","Flat Level, 2.92m x 1.93mLaminate, W/O To Balcony",,,"Flat Level, 4.30m x 3.32mLaminate, W/I Closet",,,,,"Flat Level, 3.30m x 2.62mCushion Floor","Flat Level, 8.25m x 3.30mCombined W/Dining, Laminate","Flat Level, 4.30m x 3.32mLaminate, W/I Closet, W/O To Balcony",,,,,,,,,Flat Level,,,,,,,
https://toronto.listing.ca/30-roehampton-ave-505.C4336334.htm#15-1yg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toronto.listing.ca/511-the-west-mall-dr-1110.W4339654.htm#15-1tg,,,"Main Level, 3.30m x 2.45mCombined W/Living, Laminate","Main Level, 2.75m x 2.38mSeparate Rm, W/O To Balcony, Sliding Doors",,,"Main Level, 4.47m x 3.15mLarge Closet, Large Window, Laminate",,4-piece on main level3-piece on main level,,,"Main Level, 4.55m x 2.45mPass Through, Granite Counter, Ceramic Floor","Main Level, 6.10m x 3.10mL-Shaped Room, Renovated, Laminate","Main Level, 4.90m x 3.45m3 Pc Ensuite, W/I Closet, Laminate",,,"Main Level, 4.40m x 2.90mLarge Closet, Large Window, Laminate",,,,,,,,,,,,,
https://toronto.listing.ca/39-queens-quay-e-quay-1201.C4257863.htm#15-2fx,,,"Flat Level, 2.41m x 3.63mCombined W/Living, Open Concept","Flat Level, 2.08m x 2.34mHardwood Floor",,,"Flat Level, 3.35m x 2.90mHardwood Floor",,4-piece on main level,,,"Flat Level, 1.19m x 2.49mStainless Steel Appl, Modern Kitchen","Flat Level, 4.19m x 3.63mCombined W/Dining, Open Concept","Flat Level, 3.51m x 3.05mW/I Closet",,,,,,,,,,,,,,,,
https://toronto.listing.ca/170-sumach-st-2204.C4357929.htm#15-u5,,,"Flat Level, 3.25m x 3.16mLaminate, Combined W/Living, Window",,,"Flat Level, 2.96m x 1.00mLaminate",,,4-piece on flat level,,,"Flat Level, 2.97m x 3.80mLaminate, Modern Kitchen, Centre Island","Flat Level, 3.25m x 3.16mLaminate, Combined W/Dining, W/O To Balcony","Flat Level, 2.81m x 3.77mLaminate, Closet, Window",,,,,,,,,,,,,,,,
https://toronto.listing.ca/500-doris-ave-2225.C4357375.htm#15-uv,,,"Flat Level, 3.39m x 5.59mCombined W/Living, Laminate, Open Concept",,,,,,,,,"Flat Level, 2.99m x 2.49mGranite Counter, Ceramic Floor, Pot Lights","Flat Level, 3.79m x 5.59mCombined W/Dining, Laminate, W/O To Balcony","Flat Level, 3.39m x 3.29mLarge Closet, Mirrored Closet",,,,,,,,,,,,,,,,
https://toronto.listing.ca/50-lynn-williams-st-1410.C4333939.htm#15-21o,,,"Main Level, 16.66m x 10.50mCombined W/Living, Laminate","Main Level, 7.22m x 8.53mLaminate",,,,,4-piece on main level,,,"Main Level, 9.18m x 7.22mGranite Floor","Main Level, 10.50m x 16.66mCombined W/Dining, Laminate","Main Level, 11.48m x 11.18mBroadloom, W/O To Balcony",,,,,,,,,,,,,,,,
https://toronto.listing.ca/3237-bayview-ave-1102.C4347822.htm#15-1gr,,,,,,,"Main Level, 2.95m x 2.41m3 Pc Bath",,3-piece on main level,,,"Main Level, 4.17m x 3.45m","Main Level, 4.17m x 3.20m","Main Level, 3.00m x 3.10m3 Pc Ensuite",,,,,,,,,Main Level,,,,,,,
https://toronto.listing.ca/98-lillian-st-2219.C4357550.htm#15-uq,,,"Main Level, 10.40m x 20.90mLaminate, Combined W/Living, W/O To Balcony",,,,,,,,,"Main LevelLaminate, Granite Counter, Stainless Steel Appl","Main Level, 10.40m x 20.90mLaminate, Combined W/Dining, South View","Main Level, 10.00m x 11.60mLaminate, Large Window, South View",,,,,,,,,,,,,,,,
https://toronto.listing.ca/432-kingswood-rd.E4349115.htm#15-1ew,,,,,,,,,2-piece on ground level3-piece on 2nd level4-piece on 2nd level3-piece on bsmt level,,,,,,,,,,,,,,,,,,,,,
https://toronto.listing.ca/80-david-dunlap-circ.C4331664.htm#15-248,,"2nd Level, 4.10m x 3.74mLarge Window, Pot Lights, Hardwood Floor","Main Level, 9.13m x 3.74mOpen Concept, Crown Moulding, Hardwood Floor",,"Bsmt Level, 3.74m x 2.99m3 Pc Bath, Window",,"3rd Level, 4.79m x 3.74mHardwood Floor, Closet, Window",,4-piece on 2nd level4-piece on 3rd level3-piece on bsmt level,,,"Main Level, 4.43m x 3.74mGranite Counter, Centre Island, W/O To Yard","Main Level, 9.13m x 3.74mFrench Doors, Hardwood Floor, W/O To Patio",,,,"3rd Level, 5.85m x 3.74mSemi Ensuite, Hardwood Floor, Closet","Main Level, 3.03m x 3.03mFrench Doors, East View",,,,,,,,,"2nd Level, 4.48m x 3.74mHardwood Floor, Closet, Window",,,
https://toronto.listing.ca/41-nickle-st.W4274146.htm#15-2k3,,,,,,,,,,,,"Main Level, 14.00m x 17.00m","Main Level, 10.00m x 17.00m","Main Level, 8.00m x 15.00m",,,,,,,,,,,,,"Main Level, 8.00m x 17.00m",,,
https://toronto.listing.ca/25-parkland-rd.E4361132.htm#15-kc,,"Main Level, 4.97m x 3.78mHardwood Floor, W/O To Deck, Gas Fireplace","Main Level, 4.05m x 3.46mHardwood Floor, Bay Window, Open Concept",,"Bsmt Level, 6.99m x 4.92mBroadloom, B/I Shelves, W/O To Yard",,"2nd Level, 3.80m x 2.73mHardwood Floor, Window, Closet",,2-piece on main level5-piece on 2nd level4-piece on 2nd level3-piece on bsmt level,,,"Main Level, 5.28m x 3.52mHardwood Floor, Custom Counter, Centre Island","Main Level, 6.36m x 3.13mHardwood Floor, Pot Lights, Open Concept","2nd Level, 5.45m x 5.08mHardwood Floor, W/O To Balcony, W/I Closet",,"2nd Level, 4.73m x 3.05mHardwood Floor, Window, Closet","2nd Level, 3.77m x 2.80mHardwood Floor, Window, Closet",,,,,,,,,,"Bsmt Level, 3.63m x 3.15mBroadloom, Window, Semi Ensuite",,,
